"","X1560850_at","X1557843_at","X229381_at","X1553622_a_at","X204273_at","X230800_at","X211734_s_at","X214156_at","X209945_s_at","X228618_at","X206201_s_at","X220225_at","X228554_at","X213712_at","X226814_at","X206702_at","X205009_at","X204623_at","X220581_at","X211248_s_at","X209560_s_at","dataY"
"GSM1116084_BC04_ARN0001_s1h1s1_U133p2.CEL.gz",3.45996702051319,2.76736319736481,5.91386704368479,3.24670821478775,4.75360847552827,6.67880141710728,4.22362976079437,3.01766330784528,8.38586688205966,4.99387192938814,4.10030147855896,8.03563858961189,4.08624441250708,3.69086265088328,6.19279604079192,5.2128790525779,4.07659758336257,4.98064111796248,4.04010845648697,5.0414795894825,3.84346975775725,1
"GSM1116085_BC04_ARN0002_s1h1s1_U133p2.CEL.gz",3.15199109924286,3.13730444300128,5.55900969771757,2.98792895397983,3.82839003645445,6.324983457726,3.71033509425072,2.88792794906847,8.34369176498835,4.9357476450922,3.05586412529362,4.41824045170185,3.7407013219195,3.70997507357948,6.34832724742077,4.46325317977186,4.11031789453978,5.43424230552267,3.96099955055128,4.4752204385257,3.71807653221906,1
"GSM1116085_BC16_ARN0062_s1h1s1_U133p2.CEL.gz",3.22746363439757,3.06911932496149,4.95917635819253,3.01581119540808,3.76729092503748,6.1383691812158,3.68672724184886,3.26455110067103,8.01916198982717,5.08572527873229,3.25340219616761,4.12282267199649,4.01092903407956,3.53882867520995,6.13189372026998,4.52312852979263,4.39659280677351,5.32903397066002,4.17372679831362,4.62703369119834,3.79732088861458,1
"GSM1116086_BC04_ARN0003_s1h1s1_U133p2.CEL.gz",4.46292681373819,3.63953814724703,8.43393739374952,4.80485870400551,3.68346760295905,6.53014081078694,3.89615000540638,3.41189580941458,8.1647647248894,5.21538697300259,2.88566341718338,6.00328938173175,4.20263768843244,3.61015684594377,5.69842467480202,5.56085970808859,8.24276594381861,10.1106838153939,4.47819469505643,5.63760724952529,4.05122762618182,1
"GSM1116087_BC04_ARN0004_s1h1s1_U133p2.CEL.gz",3.50288802089913,3.08280450126779,5.80703252403541,3.12771466837076,8.01332145042964,6.21816050878492,3.38945580416609,3.21203692337433,8.37348752939496,5.20134777399282,2.6975224617899,5.80083718879094,4.05410524701913,3.8152919953589,7.78677974464309,4.59462952142589,4.48428074133194,5.69653098224418,4.18825891260888,4.43183854368362,3.78273998467044,1
"GSM1116087_BC16_ARN0110_s1h1s1_U133p2.CEL.gz",3.47585921030823,3.01918023835365,5.41091910402153,3.11825892229065,7.59040638143271,6.35442457592682,3.49858666816611,3.49551604283326,7.6770896462923,4.59227231476629,2.84238999849707,5.7658682438721,3.92575263362963,3.64067113879399,7.75058105739819,4.58672730700213,4.32435757471031,5.6903288080979,4.14135121800911,4.42913390996146,3.84412067242212,1
"GSM1116088_BC04_ARN0005_s1h1s1_U133p2.CEL.gz",3.44228005672021,2.94243304345244,6.53340476447923,6.49121534453831,3.88120695826931,6.59421263185151,3.46282921548772,3.0337948362348,8.87531862065373,7.24593532380591,3.04609362741908,5.01256293575659,3.98619580807765,3.56168352630348,5.31203176652298,5.25253061778871,9.28888926719955,9.77480496278623,4.18577623214865,4.83793029414347,4.73834250662072,1
"GSM1116088_BC16_ARN0103_s1h1s1_U133p2.CEL.gz",3.48076222649942,2.92381131424917,6.42381593175529,6.01839206888587,4.49723030771628,6.2690298005071,3.56192750914045,3.19098016552148,8.72408249593496,7.22706454583381,2.72653669072585,5.17553757183773,4.08993116543755,3.88750538189785,5.45808663176883,5.31258023799846,9.56802360231923,9.62431589084326,4.17209255307173,4.82583958109588,4.51386223221296,1
"GSM1116089_BC04_ARN0006_s1h1s1_U133p2.CEL.gz",4.54276110982826,2.94176627861632,5.34268586892417,3.62113855967293,4.22053837512757,7.18513430479372,3.77697542579448,3.03065986923502,8.35062105905183,6.14214496083042,2.91672807948555,3.90828210797617,4.18669811339468,3.49001639030078,7.5966723347114,5.7267546216574,10.3786089297144,11.1445495350769,4.07413978208217,5.88487236270636,3.79475222538151,1
"GSM1116089_BC16_ARN0097_s1h1s1_U133p2.CEL.gz",4.51251619047751,2.88740974535311,5.43978680707257,3.54673184277775,4.13776992990238,7.18827549896625,3.60809471771676,3.0698243383988,8.13883435950071,5.74905459756557,2.86282298765297,4.46096531797012,4.2836730768443,3.59561001721651,7.34533820111708,6.02837378072616,10.4281509304858,11.1617854312799,4.249158686876,5.88141127459487,4.11670170246483,1
"GSM1116090_BC04_ARN0007_s1h1s1_U133p2.CEL.gz",3.06691395874882,2.94975568148377,5.22084922671231,3.12467605525972,3.48207174095181,6.28234361443793,5.53312405994232,2.91288939205856,8.5362573634688,5.38095999394811,2.98051736560465,6.40446733124777,4.75824914576416,4.20575933202254,5.23593696970753,4.79298767805525,3.9722955453484,5.28708983846594,4.15466508120481,4.5123500261113,3.70212346491911,1
"GSM1116091_BC04_ARN0008_s1h1s1_U133p2.CEL.gz",3.02007596759633,2.95560155018153,5.63246730977919,3.04059766438478,3.45659159215248,6.39427130515906,7.0608529171014,3.20172060567172,8.48410116218189,5.1969260778641,2.96510786528233,3.9015704349034,4.1418867526338,3.63455003934056,6.41794946696252,4.92828219280884,3.98227072058633,4.79854929307416,4.4979152851147,5.08060152470552,3.71846619268556,1
"GSM1116091_BC16_ARN0049_s1h1s1_U133p2.CEL.gz",3.26382065961029,2.96607651240335,5.41572208516186,3.02030269961311,3.67873277354107,6.12016804590611,6.79105017839022,3.10011713841257,8.12468487418075,5.1055122263753,3.04253314021922,4.03036119340151,4.52696465178389,3.59135701564202,6.42919017818021,4.85266913816893,4.22150723320551,4.9087439688869,4.0677986842975,4.82538186790323,3.79772905880717,1
"GSM1116092_BC04_ARN0009_s1h1s1_U133p2.CEL.gz",3.3986928834375,3.15468215265526,5.62490794590493,3.18951234386859,3.63696747358602,6.77306543064553,7.65588831754325,3.24389309142339,8.27483546230095,5.31083634537263,11.4189081243972,4.4318174442794,3.70017910886809,6.46178861623308,9.87055777656975,4.8042131401963,4.1454812231862,6.06864206001599,4.19788943575902,4.77666072192254,13.3316336065931,1
"GSM1116093_BC04_ARN0010_s1h1s1_U133p2.CEL.gz",2.95788300892298,3.09066498798585,5.37562407505383,3.15485254216702,5.96322089477846,6.90520099464051,3.5608234833038,3.29351101264242,8.08327382923779,5.49271948429442,4.11755899895093,5.52419065256661,3.95744029619953,5.82646270102147,6.82362414301618,5.7829389401255,3.91228628881353,5.06194522342622,3.91484771324438,4.53165138454073,7.80266615235079,1
